State,District,Subject,LO_Code,Description,Score
Andhra Pradesh,Alluri Sitharama Raju,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",44
Andhra Pradesh,Anakapalli,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",50
Andhra Pradesh,Anantapur,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",47
Andhra Pradesh,Annamayya,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",51
Andhra Pradesh,Bapatla,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",52
Andhra Pradesh,Chittoor,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",48
Andhra Pradesh,East Godavari,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",52
Andhra Pradesh,Eluru,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",47
Andhra Pradesh,Guntur,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",52
Andhra Pradesh,Kakinada,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",51
Andhra Pradesh,Konaseema,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",48
Andhra Pradesh,Krishna,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",52
Andhra Pradesh,Kurnool,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",44
Andhra Pradesh,Nandyal,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",48
Andhra Pradesh,Ntr,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",50
Andhra Pradesh,Palnadu,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",48
Andhra Pradesh,Parvathipuram Manyam,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",48
Andhra Pradesh,Prakasam,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",49
Andhra Pradesh,Spsr Nellore,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",55
Andhra Pradesh,Sri Sathya Sai,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",51
Andhra Pradesh,Srikakulam,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",49
Andhra Pradesh,Tirupati,Language,C-1.1,"C-1.1 Identifies main points and summarises from a careful listening or reading of the text (news articles, reports, editorials)",50
