State,District,Subject,LO_Code,Description,Score
Andhra Pradesh,Alluri Sitharama Raju,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",48
Andhra Pradesh,Anakapalli,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",50
Andhra Pradesh,Anantapur,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",42
Andhra Pradesh,Annamayya,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",43
Andhra Pradesh,Bapatla,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",49
Andhra Pradesh,Chittoor,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",46
Andhra Pradesh,East Godavari,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",45
Andhra Pradesh,Eluru,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",45
Andhra Pradesh,Guntur,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",48
Andhra Pradesh,Kakinada,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",47
Andhra Pradesh,Konaseema,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",46
Andhra Pradesh,Krishna,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",46
Andhra Pradesh,Kurnool,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",39
Andhra Pradesh,Nandyal,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",51
Andhra Pradesh,Ntr,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",46
Andhra Pradesh,Palnadu,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",47
Andhra Pradesh,Parvathipuram Manyam,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",50
Andhra Pradesh,Prakasam,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",50
Andhra Pradesh,Spsr Nellore,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",50
Andhra Pradesh,Sri Sathya Sai,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",49
Andhra Pradesh,Srikakulam,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",48
Andhra Pradesh,Tirupati,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",49
Andhra Pradesh,Visakhapatanam,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",55
Andhra Pradesh,Vizianagaram,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",53
Andhra Pradesh,West Godavari,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",42
Andhra Pradesh,Y.S.R.,Language,C-2.1,"C-2.1 Applies varied comprehension strategies (inferring, predicting, visualising) to understand different texts",47
Andhra Pradesh,Alluri Sitharama Raju,Mathematics,C-1.1,"C-1.1 Represents numbers using the place value structure of the Indian number system, compares whole numbers, and knows and can read the names of very large numbers",47
Andhra Pradesh,Anakapalli,Mathematics,C-1.1,"C-1.1 Represents numbers using the place value structure of the Indian number system, compares whole numbers, and knows and can read the names of very large numbers",58
Andhra Pradesh,Anantapur,Mathematics,C-1.1,"C-1.1 Represents numbers using the place value structure of the Indian number system, compares whole numbers, and knows and can read the names of very large numbers",42
Andhra Pradesh,Annamayya,Mathematics,C-1.1,"C-1.1 Represents numbers using the place value structure of the Indian number system, compares whole numbers, and knows and can read the names of very large numbers",50
Andhra Pradesh,Bapatla,Mathematics,C-1.1,"C-1.1 Represents numbers using the place value structure of the Indian number system, compares whole numbers, and knows and can read the names of very large numbers",53
Andhra Pradesh,Chittoor,Mathematics,C-1.1,"C-1.1 Represents numbers using the place value structure of the Indian number system, compares whole numbers, and knows and can read the names of very large numbers",46
Andhra Pradesh,East Godavari,Mathematics,C-1.1,"C-1.1 Represents numbers using the place value structure of the Indian number system, compares whole numbers, and knows and can read the names of very large numbers",51
Andhra Pradesh,Eluru,Mathematics,C-1.1,"C-1.1 Represents numbers using the place value structure of the Indian number system, compares whole numbers, and knows and can read the names of very large numbers",49
Andhra Pradesh,Guntur,Mathematics,C-1.1,"C-1.1 Represents numbers using the place value structure of the Indian number system, compares whole numbers, and knows and can read the names of very large numbers",50
Andhra Pradesh,Kakinada,Mathematics,C-1.1,"C-1.1 Represents numbers using the place value structure of the Indian number system, compares whole numbers, and knows and can read the names of very large numbers",52
Andhra Pradesh,Konaseema,Mathematics,C-1.1,"C-1.1 Represents numbers using the place value structure of the Indian number system, compares whole numbers, and knows and can read the names of very large numbers",51
Andhra Pradesh,Krishna,Mathematics,C-1.1,"C-1.1 Represents numbers using the place value structure of the Indian number system, compares whole numbers, and knows and can read the names of very large numbers",50
Andhra Pradesh,Kurnool,Mathematics,C-1.1,"C-1.1 Represents numbers using the place value structure of the Indian number system, compares whole numbers, and knows and can read the names of very large numbers",41
Andhra Pradesh,Nandyal,Mathematics,C-1.1,"C-1.1 Represents numbers using the place value structure of the Indian number system, compares whole numbers, and knows and can read the names of very large numbers",57
Andhra Pradesh,Ntr,Mathematics,C-1.1,"C-1.1 Represents numbers using the place value structure of the Indian number system, compares whole numbers, and knows and can read the names of very large numbers",54
Andhra Pradesh,Palnadu,Mathematics,C-1.1,"C-1.1 Represents numbers using the place value structure of the Indian number system, compares whole numbers, and knows and can read the names of very large numbers",50
Andhra Pradesh,Parvathipuram Manyam,Mathematics,C-1.1,"C-1.1 Represents numbers using the place value structure of the Indian number system, compares whole numbers, and knows and can read the names of very large numbers",57
Andhra Pradesh,Prakasam,Mathematics,C-1.1,"C-1.1 Represents numbers using the place value structure of the Indian number system, compares whole numbers, and knows and can read the names of very large numbers",56
